City,LATITUTE,LONGTITUE,ADCODE,Const Coefficient,Year Coefficient,P-Value,R-Squared
ABAG QI,44.017,114.95,150000,-117.50818890656687,0.05985443516222938,2.3503248512987606e-07,0.48277985638876686
ANQING,30.533,117.05,340000,-36.31957987542086,0.02676231841775218,0.00011216908432837069,0.30804000066679205
ARXAN,47.167,119.933,150000,-96.73962383143838,0.04733335549449012,1.7712074407976215e-06,0.43067180199693555
BACHU,39.8,78.567,650000,-31.026476349862065,0.021769437501076988,0.00021689682523789053,0.28652203789166886
BARKAM,31.9,102.233,510000,-53.97341592363916,0.03145042020095935,5.34332042707854e-09,0.5683790294852007
BEIJING,39.933,116.283,110000,-39.38205070667715,0.02616994903008283,6.0070544816081456e-05,0.32790058366391706
BOXIAN,33.883,115.767,340000,-100.98998326321083,0.05814266469663418,5.183519420398102e-13,0.7234853694897349
BUGT,48.767,121.917,650000,-54.575846392226694,0.02729780794330379,0.0019812018518236933,0.21033283784874346
CHANGCHUN,43.9,125.217,220000,-57.018635048098034,0.031608107314237174,0.0007580857592688634,0.2441606555202015
CHANGDE,29.05,111.683,430000,-39.58424363964795,0.028475449919332527,9.280563813507376e-05,0.31411992742854833
CHENGDE,40.967,117.917,130000,-6.930263858019515,0.008025630914126562,0.3146409587843031,0.024653741954407726
CHENGDU,30.667,104.017,510000,-128.61087125409003,0.07279147659541735,4.570161421437843e-19,0.8593674666234334
CHENGSHANTOU,37.4,122.683,370000,-42.12330769217705,0.02694872545981876,8.568307133619547e-05,0.31666800771658987
CHIFENG,42.3,118.833,150000,-16.1087978714869,0.011973229127139648,0.08553458745937512,0.07038817781103157
CHONGQING,29.583,106.467,500000,-35.875253275969044,0.02719923272873983,5.649404863642488e-07,0.4607337201656445
DA QAIDAM,37.85,95.367,630000,-113.17951834527472,0.057947917569873525,4.1453984811495576e-12,0.6942582868847771
DALIAN,38.9,121.633,210000,-61.306414137257974,0.036369605476284976,1.5416617814818225e-05,0.36941809275823156
DENGQEN,31.417,95.6,540000,-53.91806094265955,0.029007319444602594,5.976279014520608e-07,0.459289722014094
DINGHAI,30.033,122.117,330000,-63.767078270566614,0.04035216068704393,5.734443138256237e-11,0.6529417893826632
DUNHUANG,40.15,94.683,620000,-89.21549009806631,0.049708463802484615,8.728449797759415e-12,0.6830667363946515
DUOLUN,42.183,116.467,150000,-86.94944317238502,0.04495531867586388,1.7004249087567246e-06,0.43177132698205867
EJIN QI,41.95,101.067,150000,-100.91523505645648,0.055387915399105675,7.882284661445375e-12,0.6846229242182036
ENSHI,30.283,109.467,420000,-55.80805360257763,0.036168448848772135,1.6083683502519923e-08,0.5449736870725547
FUJIN,47.233,131.983,230000,-26.444278964009648,0.014966207842120204,0.06581394186567249,0.08015788794267176
FUYUN,46.983,89.517,650000,-114.11037259130612,0.059122050100264195,3.177036528923928e-06,0.41469920438107555
FUZHOU,26.083,119.283,350000,-44.66950823976006,0.0324924800040994,9.869665993273089e-09,0.5554938484468621
GANGCA,37.333,100.133,630000,-93.48555776640325,0.04689005723192426,5.8424837638376235e-12,0.6891496949357361
GANYU,34.85,119.133,320000,-64.2806154056249,0.03918033717523581,1.410517049947172e-07,0.4952169986788044
GANZHOU,25.867,115.0,360000,-54.62928778295499,0.037215555031711214,7.196093014182534e-10,0.607996580291265
GARZE,31.617,100.0,510000,-86.33516778897706,0.046270896487157154,1.280789884212415e-10,0.6392413861010897
GOLMUD,36.417,94.9,630000,-99.30467606233094,0.05266171787068784,1.1254455548669492e-12,0.7129243172902422
GUANGHUA,32.383,111.667,410000,-40.88659904413882,0.028421749674371,1.3735055040858952e-06,0.43749519885604826
GUANGZHOU,23.217,113.483,440000,-60.773244929374755,0.04168997847284908,3.7448417063021736e-08,0.526195261793513
GUILIN,25.333,110.3,450000,-54.4943073451161,0.03689860178886647,1.9421601444232753e-11,0.6705957478276348
GUIYANG,26.583,106.733,520000,28.386050991967295,-0.006604779738789229,0.37949896806027694,0.018887266826468463
HAILS,41.45,106.383,150000,-84.54508302213449,0.04516544100582832,5.0185848399707874e-08,0.5195176701067687
HAILUN,47.433,126.967,230000,-35.61598967732063,0.01905353031041408,0.03524294281524921,0.10366868991712486
HALIUT,41.567,108.517,150000,-105.39966966685263,0.05571983674549622,8.94268599810361e-10,0.6038802155948539
HAMI,42.817,93.517,650000,-61.86253044019305,0.036197618511909266,6.233508189366594e-06,0.39575682907332577
HANGZHOU,30.233,120.167,330000,-110.87831044304603,0.06405525659262801,2.4095298331020167e-16,0.8093373345555013
HANZHONG,33.067,107.033,610000,-99.92955448197614,0.057451806073231644,2.1302162715783924e-18,0.8484461618461792
HARBIN,45.75,126.767,230000,-70.96439895785502,0.03795491386517112,5.556189959182408e-05,0.33034651739510845
HECHI,24.7,108.05,450000,-3.0370162162847976,0.01191229246097246,0.030109405510838065,0.1096152554790566
HEFEI,31.867,117.233,340000,-61.857265538301434,0.039087968949357836,4.503882691702882e-09,0.5719028155091139
HEYUAN,23.8,114.733,440000,-34.44544818815082,0.028168192626271682,0.00011271807062430283,0.30788274237335456
HOBOKSAR,46.783,85.717,650000,-45.22941468941073,0.024743230021225263,0.005138418310093388,0.17575039169446527
HOHHOT,40.817,111.683,150000,-53.32153084247315,0.030343171922361762,0.00038396387592291354,0.2674339123362832
HOTAN,37.133,79.933,650000,-104.52199238551563,0.058931633696500986,1.0744568763716091e-11,0.6798718102446806
HUMA,51.717,126.65,230000,-38.19547835115533,0.018917504429195375,0.0537148479462182,0.08778006995486165
HUOSHAN,31.4,116.333,340000,-65.3084645483018,0.04052930447432204,1.9153944803858162e-08,0.5411519032535164
JARUD QI,44.567,120.9,150000,-78.76753253006558,0.04301219734278458,5.653592652197825e-07,0.4607147208353827
JIAN,27.117,114.967,360000,-71.01015379305595,0.04496285059111249,1.2209343491589783e-12,0.7117920983872214
JINZHOU,41.133,121.117,210000,-77.48014624788533,0.043802438302825646,5.490130132304074e-08,0.517451290672164
JIUQUAN,39.767,98.483,620000,-81.2193509832911,0.044635695728054696,4.613615115055086e-09,0.5714081953797836
JIXI,45.283,130.949,230000,-44.02502208587898,0.024335475160708237,0.001255978399211641,0.22651891456237128
KARAMAY,45.6,84.85,650000,-21.373694185902437,0.015183157188525781,0.10940244990556966,0.06131081815157691
KASHI,39.467,75.983,650000,-91.38106510520929,0.05196081510191059,7.928884755797583e-09,0.5601338336456665
KORLA,41.75,86.133,650000,-14.674783194210931,0.01341795406763504,0.08629167199447035,0.0700613168832116
KUNMING,25.017,102.683,530000,-34.47058851061382,0.024979555528676978,0.0010996327933928663,0.23119397045748813
KUQA,41.717,82.95,650000,25.34369095818542,-0.007035989730136763,0.18685278368284908,0.042101612723980275
LENGHU,38.833,93.383,630000,-71.18862697300065,0.037289860074308734,5.683384764329773e-08,0.5166529847427788
LETING,39.433,118.9,130000,-125.05396839880596,0.06826612486770975,4.843971655315428e-15,0.7794717744649207
LHASA,29.667,91.133,540000,-122.479698799906,0.06563922297359005,5.549991025231496e-17,0.8224494460473066
LIJING,26.833,100.467,530000,-75.47471692413924,0.0443424647285726,4.718276814610549e-10,0.6158733968525147
LINCANG,23.95,100.217,530000,-25.27821434116676,0.021602077068615444,9.075200470707546e-06,0.38495631703901345
LINDONG,43.983,119.4,150000,-106.00042995783357,0.05608845869955856,9.645331422744205e-10,0.6024374925086444
LINGLING,26.233,111.617,430000,-57.33007013898202,0.03777118974273783,1.1863982101904702e-09,0.5984622505770327
LUSHI,34.05,111.033,410000,-49.97197962566422,0.0313733880499642,1.4532592646321117e-07,0.4944977883340501
MADOI,34.917,98.217,630000,-111.242183318487,0.05409345445207153,1.7584071572887384e-09,0.5907997599777801
MAZONG SHAN,41.8,97.033,620000,-79.19564992041526,0.04216523550659654,1.1806337615491846e-08,0.5516616748278171
MENGZI,23.383,103.383,530000,-49.59231163305505,0.034385202527155434,5.96563806736094e-07,0.45933552869765415
MINQIN,38.633,103.083,620000,-116.10291350470055,0.06263660476539029,5.690681568880391e-13,0.7222344024896888
MUDANJIANG,44.567,129.6,230000,-44.798862541124684,0.024813678789412597,0.0013407680966336561,0.2242138405593923
NAGQU,31.483,92.067,540000,-113.98441602150615,0.0569367048448615,3.1609538001053992e-12,0.6982359237760811
NANCHANG,28.6,115.917,360000,-84.03541870452216,0.0511452750132328,1.274399631562798e-16,0.815139926118043
NANCHONG,30.8,106.083,510000,-40.579499796454854,0.02906195257840382,2.350895606458595e-06,0.4229833313323914
NANJING,31.933,118.9,320000,-90.38210284506492,0.05324336281065416,6.733846573432718e-13,0.7199645719051315
NANNING,22.633,108.217,450000,4.250309244255419,0.008844866001734702,0.1589805404660574,0.04779877472079497
NANPING,26.633,118.0,350000,-56.8191127503477,0.0384208306292258,4.865020804205593e-10,0.615307096737272
NENJIANG,49.167,125.233,230000,-80.60165071346952,0.04082510292289157,1.660451961497261e-05,0.3672131543851844
OTOG QI,39.1,107.983,150000,-59.926861098224,0.033784336087429354,3.410674552038398e-05,0.3454671113739961
PINGLIANG,35.55,106.667,620000,-78.07989566078976,0.04376810608368828,9.809944702392177e-09,0.5556231054698897
QAMDO,31.15,97.167,540000,-50.915045052518934,0.029520689114635342,9.22606818736373e-07,0.4480182815753754
QIAN GORLOS,45.083,124.867,220000,-46.385128628614964,0.02613424211603782,0.004902930600746835,0.17747425342019452
QINGDAO,36.067,120.333,370000,-70.63076500788331,0.04201214063457809,1.4393628194448353e-06,0.43624431012816844
QINZHOU,21.95,108.617,450000,-32.71015862506468,0.027661163689943036,2.5208526441076458e-05,0.3546807185149423
QIONGHAI,19.233,110.467,460000,-35.93981383698355,0.030340497070586697,7.250490156793176e-08,0.5109974956296364
QIQIHAR,47.383,123.917,230000,-54.44011915639875,0.029470456508515624,0.0008987730819048614,0.23824668732718735
QU XIAN,28.967,118.867,330000,-68.82078193734516,0.043291634040329076,3.052232145032796e-12,0.6987456795367882
RUOQIANG,39.033,88.167,650000,-13.110129834237526,0.012579739996800558,0.04197479277598761,0.09707013409249943
SANYA,18.217,109.583,460000,200.66042803464666,-0.08767368466819499,2.8492201890992604e-07,0.47801566685637065
SHACHE,38.433,77.267,650000,-61.62892999125786,0.036928369918761694,1.0554106797651474e-08,0.5540635056621273
SHANGHAI HONGQIAO,31.167,121.433,310000,-118.52370977032828,0.0678125360111608,7.305021701585656e-17,0.8200657138533459
SHANTOU,23.4,116.683,440000,-82.11915627517048,0.052188369771650936,3.6790207646933716e-14,0.7567116002728382
SHANWEI,22.783,115.367,440000,-44.02222443177209,0.03332362833809789,3.874288375764722e-09,0.5749842655099402
SHAOGUAN,24.667,113.6,440000,1.4530179331907505,0.009553664291949662,0.09430640937482818,0.06677406558572507
SHENYANG,41.733,123.517,210000,-14.031855878659442,0.011332160296161395,0.14329450947212952,0.05151318012117867
SIMAO,22.767,100.983,530000,-70.87929890292847,0.044974385019267094,1.2995769939510902e-13,0.7413855653250367
TAIYUAN,37.783,112.55,140000,-108.88695464816459,0.05979425298088135,2.795049212546828e-14,0.7599276943963004
TENGCHONG,25.117,98.483,530000,-34.42398792174596,0.024948040054462113,3.0796579509169763e-07,0.47607894048785726
TIKANLIK,40.633,87.7,650000,-75.58379221462883,0.043555350908358575,1.3403656481071978e-09,0.5961011986493949
TONGHE,45.967,128.733,230000,-65.80975800721892,0.03445979192031102,4.698863950965326e-05,0.33557386393065736
TONGLIAO,43.6,122.267,150000,-87.87606072441156,0.04759882019899141,4.4965671849837935e-08,0.5220333576910205
TULIHE,50.45,121.7,150000,-57.21129173590345,0.026661398484809744,0.0019982932465145886,0.21002550453185254
TUOTUOHE,34.217,92.433,630000,-137.0635571751357,0.06681924516539836,2.6421395349225364e-09,0.5827206038120342
TURPAN,42.933,89.2,650000,-123.88552411509254,0.06970473934448694,1.2122343002751109e-12,0.7118916979134471
ULIASTAI,45.517,116.967,150000,-99.91310085995357,0.05103536533178337,8.05364477485332e-07,0.4515697058037448
WEIFANG,36.767,119.183,370000,-91.63711026107946,0.052358319093567605,3.2474175539825293e-09,0.5785687800477182
WU LU MU QI,43.8,87.65,650000,-94.90513076341361,0.05124473449796123,2.2327873492100323e-07,0.48404259227336155
WUDU,33.4,104.917,620000,-69.80930280830944,0.04246171434641165,8.156877708645072e-10,0.6056276557962639
WUHAN,30.6,114.05,420000,-70.75893312521666,0.044006838345911965,2.1191682655887137e-07,0.48532505560220096
WUZHOU,23.483,111.3,450000,-37.61713777928453,0.029500492567686512,6.412217922586312e-07,0.4574770695704691
XI UJIMQIN QI,44.583,117.6,150000,-65.14328370880317,0.03364581713604975,0.00022513077555737964,0.2852894714291542
XIAMEN,24.483,118.083,350000,-104.99303408476786,0.06303148187469675,3.1052213534225046e-14,0.7587010762252697
XIAN,34.3,108.933,610000,-35.89045011701057,0.02497851866163929,0.008756927904327803,0.1560230742669192
XICHANG,27.9,102.267,510000,-52.97703279860818,0.035177879367543574,4.298032110968656e-08,0.5230639736194631
XIGAZE,29.25,88.883,540000,-63.474570968115515,0.03542653025836241,3.192920551900599e-09,0.5789109355220475
XILIN HOT,43.95,116.117,150000,-80.0590137913641,0.0416360131259649,4.4257854669001844e-05,0.3374325838098974
XINGREN,25.433,105.183,520000,-48.47851381124751,0.032071113122161335,2.037115151039891e-06,0.4268856365308086
XINING,36.617,101.767,630000,-9.309493561136065,0.007771526469634964,0.24652063051831652,0.032611134352370286
XINYANG,32.133,114.05,410000,-79.15329979562858,0.047481272177502115,1.014986126032507e-10,0.6432607745736096
XUZHOU,34.283,117.15,320000,-81.64202099134106,0.04836819724007736,1.6154794912659845e-12,0.7078653205561724
YAN AN,36.6,109.5,610000,-46.960065524745666,0.028657452555294293,0.00030241212477213425,0.27546428595191097
YANCHI,37.8,107.383,640000,-65.90144082713701,0.03735093113414008,2.9065131466570547e-05,0.3503566842375687
YANGJIANG,21.867,111.967,440000,-18.78561813201148,0.020782064143610876,0.0015456606797276881,0.21917869966869197
YANJI,42.867,129.5,220000,-60.366016145464194,0.033106313808102236,2.0048020845778245e-06,0.4273196348784951
YIBIN,28.8,104.6,510000,-30.725299956531842,0.024429780447714766,0.0003417265715796071,0.27136258976489014
YICHANG,30.7,111.3,420000,-10.537500797586873,0.013803278435134424,0.02486131872845719,0.11684901796398306
YINCHUAN,38.467,106.2,640000,-118.28747355042373,0.06407142446171663,3.1106044805813695e-14,0.7586808354222982
YINGKOU,40.667,122.2,210000,-49.64318145148063,0.02979732664074526,2.5262247625026854e-05,0.354616247886712
YINING,43.95,81.333,650000,-89.07619000218057,0.049436873113429064,1.5815844250855582e-07,0.49245381897603735
YONGAN,25.967,117.35,350000,-58.49754042259846,0.039201327263389034,2.7617215676697582e-12,0.7001976968317073
YOUYANG,28.833,108.767,500000,10.839847974077287,0.0020624154532059152,0.7425886312654115,0.0026595670896811807
YULIN,38.233,109.7,450000,-106.81082989612898,0.057918533259804186,2.3123691853297849e-10,0.6288317047042796
YUNCHENG,35.05,111.05,140000,-50.99632585769059,0.03269857998701545,1.8189672430269095e-05,0.3644951471629495
YUSHU,33.0,96.967,630000,-50.45475225415223,0.027098476294794005,0.0004599276606287238,0.261314306038834
ZHANGWU,42.417,122.533,210000,-61.07683174659585,0.03457036729567981,5.900000826331593e-06,0.39732322619033145
ZHENGZHOU,34.717,113.65,410000,-108.30994751827402,0.06167800926611362,6.337292204738204e-17,0.8213025390071096
ZHIJIANG,27.45,109.683,420000,-46.23959751322245,0.03156476181588307,3.873180710490177e-09,0.5749900965219015
